Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
Vermont,315067,178573,95369,10078,299290,199239,92698,325046,219262,98974,312309,184067,121180,294308,149022,119775,20374,258449,137894,80352,31024,289701,133592,88122,65991,243333,115775,124331,234561,95730,135865,213207,81891,94598,31760,187855,81044,102085,186946,68174,117149,161404,70255,85142,5104,163089,108127,54942,167324,69186,98131,7,152978,42549,110390,39,153557,43355,109717,123382,45557,75926,0,1279,125361,53820,71527,143062,64269,78371,143689,62124,81023,136980,56266,78984,1533,135191,44440,90404,102917,16124,80498,5964,89961,20919,68212,0,64475,22708,40250,798,62842,15354,23332,22132,928,52680,11496,39552,0,51888,9777,40459,859,56212,12849,42569,63847,10640,51127,55796,16325,37992,44,65452,16788,45192,59401,17331,39514,64594,18182,45091,1212,64553,20254,44091,52980,10926,41480,56212,12045,44167,55742,13322,42420,44566,8649,33808,1866,217,50748,10577,39561,545,43890,13044,22173,8621,47922,10948,23132,13837,48829,18049,26780,3970,50773,18009,32445,35031,14037,20994,0,0,32128,7870,11152,13106,33713,8350,25363
Virginia,3982752,1981473,1769443,118274,3854489,1971820,1822522,3723260,1959532,1725005,3198367,1454742,1716959,2739447,1217290,1437490,59398,2416642,1091060,1138350,159861,2558665,1038650,1150517,348639,2191609,859799,1309162,2146635,796250,1337078,1866032,752174,989609,95418,1697094,813896,836554,1457019,438887,988493,1361491,442387,590319,321833,1042267,558038,481334,771449,362327,404521,4601,697978,267760,386459,43759,619689,268677,349037,419256,200786,172070,43393,2047,388485,242276,145243,346607,235961,109363,334590,234980,98336,297942,203979,89637,2382,305358,140146,164609,223602,139716,73312,10377,230999,141670,87456,807,153992,102824,49356,1062,136976,90332,23288,21777,820,137065,82946,52572,255,130410,80649,48180,202,264208,146079,115769,294674,154708,135379,292238,164136,113098,12275,304087,152004,150399,284977,145491,139356,211616,128083,83533,0,236288,140770,95518,185195,91647,93463,,,,,,,166891,16198,1887,74325,74481,150233,90083,0,60150,132604,73872,58732,0,92004,46739,45265,0,95539,50679,44860,0,86394,43757,42637,53945,30556,0,23384,0,45682,34243,11436,3,38924,26854,12070
Washington,3316996,1742718,1221747,160879,3145958,1755396,1290670,3053261,1750848,1229216,2861713,1510201,1304894,2488745,1247652,1108864,103002,2253837,1123323,840712,201003,2288230,993037,731234,541780,1865253,933516,903835,1883910,807352,1051670,1742394,650193,865244,185073,1555534,717323,777732,1470847,568334,837135,1304281,616037,588510,96990,1258556,779881,470366,1241572,599298,629273,13001,1150889,523002,620430,7457,1102708,492845,599107,905059,476165,386315,0,31692,856328,486774,361689,793833,462145,322123,692338,459579,206892,614814,353260,208645,17080,500840,156772,335844,421549,42842,220224,150727,398715,84298,223137,8913,380994,183388,167208,22800,322799,86840,70445,113698,40134,183879,58691,106062,14177,145151,28098,101540,10023,107524,44833,57456,93583,53314,39153,87969,29802,36460,19165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,721231,188794,489371,23004,672119,238269,417655,715123,303857,397466,755887,326541,423778,648124,295497,336475,10680,636459,327812,233946,71639,683711,331001,241974,108829,653311,341016,310065,735742,328125,405483,737715,367462,334206,31691,750674,435914,314760,762399,277435,484964,754206,374091,307555,72560,792040,538087,253953,837781,441786,395995,0,830831,381534,449297,0,873548,453578,419970,748750,429188,316251,0,3311,715596,392777,322819,868076,495662,372414,829945,502582,325358,743774,405124,330731,5133,642752,263784,375551,583662,257232,288635,36723,509942,220789,282007,5618,289852,140403,143124,6150,268828,113197,56754,79112,15248,258105,111418,137869,3679,239986,100855,132620,1573,220796,98807,119829,201757,94480,105379,171079,84467,80292,4167,159440,78677,78171,132145,67311,63096,112641,57390,46243,9008,99647,56546,41997,62467,29532,32320,49321,20306,29015,34877,11078,23799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,2976150,1382536,1405284,106674,3068434,1620985,1407966,2983417,1677211,1262393,2997007,1489504,1478120,2598607,1242987,1237279,94070,2196169,1071971,845029,227339,2531114,1041066,930855,544479,2191608,1126794,1047499,2212016,995847,1198800,2273221,981584,1088845,160657,2101336,1040232,1004987,1852890,810174,989430,1691538,748804,809997,127835,1691815,1050424,638495,1729082,830805,895175,3102,1550558,586768,954844,8946,1607370,622175,979744,1276800,647310,590959,0,25282,1339152,650413,674532,1405522,704821,679206,1258560,802984,380828,1114808,707410,347741,53379,1016831,450259,544205,840826,68115,311614,453678,701280,113422,498576,80635,447134,191363,220822,27631,399975,164230,130596,62448,33476,454441,166662,247747,28147,443441,124205,280315,28240,442501,159163,265760,447409,165523,268135,371581,177325,171101,10019,354614,155232,176553,319835,146453,161135,267187,114644,144398,7986,257177,123926,130067,192305,86477,104994,193603,84703,108900,149342,65884,83458,152183,65021,86113,888,161,119512,52843,66090,579,64682,33658,22210,8814,39166,15001,13747,10418,,,,,,,,,,,,,,,,,,,
Wyoming,255849,55973,174419,13287,249061,69286,170962,254658,82868,164958,243428,70776,167629,218351,60481,147947,4625,211571,77934,105388,25928,200625,68160,79347,51263,176551,67113,106867,188968,53370,133241,176713,49427,110700,12072,156343,62239,92717,145570,44358,100464,127205,45173,70927,11105,142716,80718,61998,140782,63331,77451,0,124127,49554,74573,0,129251,47934,81047,101425,52354,47947,0,931,101340,49419,51921,112240,59287,52633,103382,62624,38739,96962,54370,39583,2829,82835,29299,52748,79900,12868,41858,25174,54700,17429,35091,0,51840,28316,21698,1453,42296,15310,14560,9232,2760,37609,14918,20846,1715,30708,8930,20489,1072,24687,10164,14482,21092,10861,10072,16735,0,8454,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC,311268,282830,12723,4906,293764,267070,21381,265853,245800,17367,227586,202970,21256,201894,171923,18073,10576,185726,158220,17339,3611,227572,192619,20698,9681,192877,159407,27590,211288,180408,29009,173889,130231,23313,16131,168830,137818,27873,163421,127627,35226,170578,139566,31012,0,198597,169796,28801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,220796,98807,119829,201757,94480,105379,171079,84467,80292,4167,159440,78677,78171,132145,67311,63096,112641,57390,46243,9008,99647,56546,41997,62467,29532,32320,49321,20306,29015,34877,11078,23799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,2976150,1382536,1405284,106674,3068434,1620985,1407966,2983417,1677211,1262393,2997007,1489504,1478120,2598607,1242987,1237279,94070,2196169,1071971,845029,227339,2531114,1041066,930855,544479,2191608,1126794,1047499,2212016,995847,1198800,2273221,981584,1088845,160657,2101336,1040232,1004987,1852890,810174,989430,1691538,748804,809997,127835,1691815,1050424,638495,1729082,830805,895175,3102,1550558,586768,954844,8946,1607370,622175,979744,1276800,647310,590959,0,25282,1339152,650413,674532,1405522,704821,679206,1258560,802984,380828,1114808,707410,347741,53379,1016831,450259,544205,840826,68115,311614,453678,701280,113422,498576,80635,447134,191363,220822,27631,399975,164230,130596,62448,33476,454441,166662,247747,28147,443441,124205,280315,28240,442501,159163,265760,447409,165523,268135,371581,177325,171101,10019,354614,155232,176553,319835,146453,161135,267187,114644,144398,7986,257177,123926,130067,192305,86477,104994,193603,84703,108900,149342,65884,83458,152183,65021,86113,888,161,119512,52843,66090,579,64682,33658,22210,8814,39166,15001,13747,10418,,,,,,,,,,,,,,,,,,,
Wyoming,255849,55973,174419,13287,249061,69286,170962,254658,82868,164958,243428,70776,167629,218351,60481,147947,4625,211571,77934,105388,25928,200625,68160,79347,51263,176551,67113,106867,188968,53370,133241,176713,49427,110700,12072,156343,62239,92717,145570,44358,100464,127205,45173,70927,11105,142716,80718,61998,140782,63331,77451,0,124127,49554,74573,0,129251,47934,81047,101425,52354,47947,0,931,101340,49419,51921,112240,59287,52633,103382,62624,38739,96962,54370,39583,2829,82835,29299,52748,79900,12868,41858,25174,54700,17429,35091,0,51840,28316,21698,1453,42296,15310,14560,9232,2760,37609,14918,20846,1715,30708,8930,20489,1072,24687,10164,14482,21092,10861,10072,16735,0,8454,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington DC,311268,282830,12723,4906,293764,267070,21381,265853,245800,17367,227586,202970,21256,201894,171923,18073,10576,185726,158220,17339,3611,227572,192619,20698,9681,192877,159407,27590,211288,180408,29009,173889,130231,23313,16131,168830,137818,27873,163421,127627,35226,170578,139566,31012,0,198597,169796,28801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
