Year,Candidate,Party,State,Votes,Pct
1972,Total,Total,Alabama,1006093,100.0
1972,"McGovern, George",Democratic,Alabama,256923,25.536704857304443
1972,"Nixon, Richard",Republican,Alabama,728701,72.42879137415726
1968,Total,Total,Alabama,1049917,100.0
1968,"Humphrey, Hubert",Democratic,Alabama,196579,18.723289555269606
1968,"Nixon, Richard",Republican,Alabama,146923,13.993772841091248
1968,"Wallace, George",American Independent,Alabama,691425,65.85520569721226
1964,Total,Total,Alabama,689817,100.0
1964,"Johnson, Lyndon (LBJ)",Democratic,Alabama,0,0.0
1964,"Goldwater, Barry",Republican,Alabama,479085,69.45102831620561
1960,Total,Total,Alabama,564473,100.0
1960,"Kennedy, Jack (JFK)",Democratic,Alabama,318303,56.38941100814388
1960,"Nixon, Richard",Republican,Alabama,237981,42.1598552986591
1960,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Alabama,8189,1.4507336931970174
1956,Total,Total,Alabama,496871,100.0
1956,"Stevenson, Adlai",Democratic,Alabama,280844,56.52251791712537
1956,"Eisenhower, Dwight",Republican,Alabama,195694,39.38527303867603
1956,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Alabama,20333,4.0922090441985945
1952,Total,Total,Alabama,426120,100.0
1952,"Stevenson, Adlai",Democratic,Alabama,275075,64.5534121843612
1952,"Eisenhower, Dwight",Republican,Alabama,149231,35.02088613536093
1948,Total,Total,Alabama,214980,100.0
1948,"Truman, Harry",Democratic,Alabama,0,0.0
1948,"Dewey, Thomas",Republican,Alabama,40930,19.038980370267
1948,"Thurmond, Strom","States' Rights ""Dixiecrat""",Alabama,171443,79.74834868359848
1948,"Wallace, Henry",Progressive,Alabama,1522,0.707972834682296
1944,Total,Total,Alabama,244743,100.0
1944,"Roosevelt, Franklin (FDR)",Democratic,Alabama,198918,81.27627756462901
1944,"Dewey, Thomas",Republican,Alabama,44540,18.1986818826279
1940,Total,Total,Alabama,294219,100.0
1940,"Roosevelt, Franklin (FDR)",Democratic,Alabama,250726,85.21747405843946
1940,"Wilkie, Wendell",Republican,Alabama,42184,14.337619256404244
1936,Total,Total,Alabama,275744,100.0
1936,"Roosevelt, Franklin (FDR)",Democratic,Alabama,238196,86.3830219333875
