Year,Candidate,Party,State,Votes
,"Harrison, Benjamin",Republican,Alabama,9184
,"Weaver, James",Populist,Alabama,84984
1888,Total,Total,Alabama,175085
,"Cleveland, Grover",Democratic,Alabama,117314
,"Harrison, Benjamin",Republican,Alabama,57177
1884,Total,Total,Alabama,153624
,"Cleveland, Grover",Democratic,Alabama,92736
,"Blaine, James",Republican,Alabama,59444
1880,Total,Total,Alabama,151902
,"Hancock, Winfield",Democratic,Alabama,91130
,"Garfield, James",Republican,Alabama,56350
,"Weaver, James",Greenback,Alabama,4422
1876,Total,Total,Alabama,171699
,"Tilden, Samuel",Democratic,Alabama,102989
,"Hayes, Rutherford",Republican,Alabama,68708
1872,Total,Total,Alabama,169716
,"Greeley, Horace",Liberal Republican/Democratic,Alabama,79444
,"Grant, Ulysses",Republican,Alabama,90272
1868,Total,Total,Alabama,149594
,"Seymour, Horatio",Democratic,Alabama,72921
,"Grant, Ulysses",Republican,Alabama,76667
1864,Total,Total,Alabama,
,"McClellan, George",Democratic,Alabama,
,"Lincoln, Abraham",National Union (Republican),Alabama,
1860,Total,Total,Alabama,90122
,"Douglas, Stephen",(Northern) Democratic,Alabama,13618
,"Lincoln, Abraham",Republican,Alabama,0
,"Breckinridge, John",Southern Democratic,Alabama,48669
,"Bell, John",Constitutional Union,Alabama,27835
1856,Total,Total,Alabama,75291
,"Buchanan, James",Democratic,Alabama,46739
,"Fremont, John",Republican,Alabama,0
,"Fillmore, Millard","Fillmore, Millard",Alabama,28552
1852,Total,Total,Alabama,44147
,"Pierce, Franklin",Democratic,Alabama,26881
,"Scott, Winfield",Whig,Alabama,15061
,"Hale, John",Free Soil,Alabama,0
1848,Total,Total,Alabama,61659
,"Cass, Lewis",Democratic,Alabama,31173
,"Taylor, Zachary",Whig,Alabama,30482
,"Van Buren, Martin",Free Soil,Alabama,0
1844,Total,Total,Alabama,63403
,"Polk, James",Democratic,Alabama,37401
,"Clay, Henry",Whig,Alabama,26002
,"Birney, James",Liberty,Alabama,0
1840,Total,Total,Alabama,62511
,"Van Buren, Martin",Democratic,Alabama,33996
,"Harrison, William",Whig,Alabama,28515
1836,Total,Total,Alabama,37296
,"Van Buren, Martin",Democratic,Alabama,20638
,"Harrison, William",Whig,Alabama,0
,"White, Hugh",Whig,Alabama,16658
,"Webster, Daniel",Whig,Alabama,0
1832,Total,Total,Alabama,14291
,"Jackson, Andrew",Democratic,Alabama,14286
,"Clay, Henry",National Republican,Alabama,5
,"Wirt, William",Anti-Masonic,Alabama,0
1828,Total,Total,Alabama,18618
,"Jackson, Andrew",Democratic,Alabama,16736
,"Adams, John Quincy",National Republican,Alabama,1878
2016,Total,Total,Alaska,318608
,"Clinton, Hillary",Democratic,Alaska,116454
,"Trump, Donald",Republican,Alaska,163387
,"Johnson, Gary",Libertarian,Alaska,18725
2012,Total,Total,Alaska,300495
,"Obama, Barack",Democratic,Alaska,122640
,"Romney, Mitt",Republican,Alaska,164676
2008,Total,Total,Alaska,326197
,"Obama, Barack",Democratic,Alaska,123594
,"McCain, John",Republican,Alaska,193841
2004,Total,Total,Alaska,312598
,"Kerry, John",Democratic,Alaska,111025
,"Bush, George W.",Republican,Alaska,190889
2000,Total,Total,Alaska,285560
,"Gore, Al",Democratic,Alaska,79004
,"Bush, George W.",Republican,Alaska,167398
,"Nader, Ralph",Green,Alaska,28747
1996,Total,Total,Alaska,241620
,"Clinton, Bill",Democratic,Alaska,80380
,"Dole, Bob",Republican,Alaska,122746
,"Perot, Ross",Reform,Alaska,26333
1992,Total,Total,Alaska,258506
,"Clinton, Bill",Democratic,Alaska,78294
,"Bush, George H.W.",Republican,Alaska,102000
,"Perot, Ross",Independent,Alaska,73481
1988,Total,Total,Alaska,200116
,"Dukakis, Michael",Democratic,Alaska,72584
,"Bush, George H.W.",Republican,Alaska,119251
1984,Total,Total,Alaska,207605
,"Mondale, Walter",Democratic,Alaska,62007
,"Reagan, Ronald",Republican,Alaska,138377
1980,Total,Total,Alaska,158445
,"Carter, Jimmy",Democratic,Alaska,41842
,"Reagan, Ronald",Republican,Alaska,86112
,"Anderson, John",Independent,Alaska,11155
1976,Total,Total,Alaska,123574
,"Carter, Jimmy",Democratic,Alaska,44058
,"Ford, Gerald",Republican,Alaska,71555
1972,Total,Total,Alaska,95219
,"McGovern, George",Democratic,Alaska,32967
,"Nixon, Richard",Republican,Alaska,55349
1968,Total,Total,Alaska,83035
,"Humphrey, Hubert",Democratic,Alaska,35411
,"Nixon, Richard",Republican,Alaska,37600
,"Wallace, George",American Independent,Alaska,10024
1964,Total,Total,Alaska,67259
,"Johnson, Lyndon (LBJ)",Democratic,Alaska,44329
,"Goldwater, Barry",Republican,Alaska,22930
1960,Total,Total,Alaska,60762
,"Kennedy, Jack (JFK)",Democratic,Alaska,29809
,"Nixon, Richard",Republican,Alaska,30953
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Alaska,0
1956,Total,Total,Alaska,
,"Stevenson, Adlai",Democratic,Alaska,
,"Eisenhower, Dwight",Republican,Alaska,
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Alaska,
1952,Total,Total,Alaska,
,"Stevenson, Adlai",Democratic,Alaska,
,"Eisenhower, Dwight",Republican,Alaska,
1948,Total,Total,Alaska,
,"Truman, Harry",Democratic,Alaska,
