Year,Candidate,Party,State,Votes
,"Perot, Ross",Reform,Missouri,217188
1992,Total,Total,Missouri,2391565
,"Clinton, Bill",Democratic,Missouri,1053873
,"Bush, George H.W.",Republican,Missouri,811159
,"Perot, Ross",Independent,Missouri,518741
1988,Total,Total,Missouri,2093228
,"Dukakis, Michael",Democratic,Missouri,1001619
,"Bush, George H.W.",Republican,Missouri,1084953
1984,Total,Total,Missouri,2122771
,"Mondale, Walter",Democratic,Missouri,848583
,"Reagan, Ronald",Republican,Missouri,1274188
1980,Total,Total,Missouri,2099824
,"Carter, Jimmy",Democratic,Missouri,931182
,"Reagan, Ronald",Republican,Missouri,1074181
,"Anderson, John",Independent,Missouri,77920
1976,Total,Total,Missouri,1953600
,"Carter, Jimmy",Democratic,Missouri,998387
,"Ford, Gerald",Republican,Missouri,927443
1972,Total,Total,Missouri,1852589
,"McGovern, George",Democratic,Missouri,698531
,"Nixon, Richard",Republican,Missouri,1154058
1968,Total,Total,Missouri,1809502
,"Humphrey, Hubert",Democratic,Missouri,791444
,"Nixon, Richard",Republican,Missouri,811932
,"Wallace, George",American Independent,Missouri,206126
1964,Total,Total,Missouri,1817879
,"Johnson, Lyndon (LBJ)",Democratic,Missouri,1164344
,"Goldwater, Barry",Republican,Missouri,653535
1960,Total,Total,Missouri,1934422
,"Kennedy, Jack (JFK)",Democratic,Missouri,972201
,"Nixon, Richard",Republican,Missouri,962221
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Missouri,0
1956,Total,Total,Missouri,1832562
,"Stevenson, Adlai",Democratic,Missouri,918273
,"Eisenhower, Dwight",Republican,Missouri,914289
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Missouri,0
1952,Total,Total,Missouri,1892062
,"Stevenson, Adlai",Democratic,Missouri,929830
,"Eisenhower, Dwight",Republican,Missouri,959429
1948,Total,Total,Missouri,1578628
,"Truman, Harry",Democratic,Missouri,917315
,"Dewey, Thomas",Republican,Missouri,655039
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Missouri,42
,"Wallace, Henry",Progressive,Missouri,3998
1944,Total,Total,Missouri,1572474
,"Roosevelt, Franklin (FDR)",Democratic,Missouri,807804
,"Dewey, Thomas",Republican,Missouri,761524
1940,Total,Total,Missouri,1833729
,"Roosevelt, Franklin (FDR)",Democratic,Missouri,958476
,"Wilkie, Wendell",Republican,Missouri,871009
1936,Total,Total,Missouri,1828635
,"Roosevelt, Franklin (FDR)",Democratic,Missouri,1111043
,"Landon, Alf",Republican,Missouri,697891
1932,Total,Total,Missouri,1609894
,"Roosevelt, Franklin (FDR)",Democratic,Missouri,1025406
,"Hoover, Herbert",Republican,Missouri,564713
,"Thomas, Norman",Socialist,Missouri,16374
1928,Total,Total,Missouri,1500721
,"Smith, Al",Democratic,Missouri,662562
,"Hoover, Herbert",Republican,Missouri,834080
1924,Total,Total,Missouri,1307958
,"Davis, John",Democratic,Missouri,572753
,"Coolidge, Calvin",Republican,Missouri,648486
,"LaFollette, Robert",Progressive,Missouri,84160
1920,Total,Total,Missouri,1332800
,"Cox, John",Democratic,Missouri,574799
,"Harding, Warren",Republican,Missouri,727162
,"Debs, Eugene",Socialist,Missouri,20242
1916,Total,Total,Missouri,786769
,"Wilson, Woodrow",Democratic,Missouri,398032
,"Hughes, Charles",Republican,Missouri,369339
,"Benson, Allan",Socialist,Missouri,14612
1912,Total,Total,Missouri,698566
,"Wilson, Woodrow",Democratic,Missouri,330746
,"Taft, William",Republican,Missouri,207821
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Missouri,124375
,"Debs, Eugene",Socialist,Missouri,28466
1908,Total,Total,Missouri,715927
,"Bryan, William",Democratic,Missouri,346574
,"Taft, William",Republican,Missouri,347203
,"Debs, Eugene",Socialist,Missouri,15431
1904,Total,Total,Missouri,643861
,"Parker, Alton",Democratic,Missouri,296312
,"Roosevelt, Theodore (Teddy)",Republican,Missouri,321449
,"Debs, Eugene",Socialist,Missouri,13009
1900,Total,Total,Missouri,683656
,"Bryan, William",Democratic,Missouri,351922
,"McKinley, William",Republican,Missouri,314092
1896,Total,Total,Missouri,673906
,"Bryan, William",Democratic,Missouri,363667
,"McKinley, William",Republican,Missouri,304940
1892,Total,Total,Missouri,541583
,"Cleveland, Grover",Democratic,Missouri,268400
,"Harrison, Benjamin",Republican,Missouri,227646
,"Weaver, James",Populist,Missouri,41204
1888,Total,Total,Missouri,521360
,"Cleveland, Grover",Democratic,Missouri,261943
,"Harrison, Benjamin",Republican,Missouri,236252
1884,Total,Total,Missouri,441268
,"Cleveland, Grover",Democratic,Missouri,236023
,"Blaine, James",Republican,Missouri,203081
1880,Total,Total,Missouri,397289
,"Hancock, Winfield",Democratic,Missouri,208600
,"Garfield, James",Republican,Missouri,153647
,"Weaver, James",Greenback,Missouri,35042
1876,Total,Total,Missouri,350610
,"Tilden, Samuel",Democratic,Missouri,202086
,"Hayes, Rutherford",Republican,Missouri,145027
1872,Total,Total,Missouri,273059
,"Greeley, Horace",Liberal Republican/Democratic,Missouri,151434
,"Grant, Ulysses",Republican,Missouri,119196
1868,Total,Total,Missouri,152488
,"Seymour, Horatio",Democratic,Missouri,65628
,"Grant, Ulysses",Republican,Missouri,86860
1864,Total,Total,Missouri,104346
,"McClellan, George",Democratic,Missouri,31596
,"Lincoln, Abraham",National Union (Republican),Missouri,72750
1860,Total,Total,Missouri,165563
,"Douglas, Stephen",(Northern) Democratic,Missouri,58801
,"Lincoln, Abraham",Republican,Missouri,17028
,"Breckinridge, John",Southern Democratic,Missouri,31362
,"Bell, John",Constitutional Union,Missouri,58372
1856,Total,Total,Missouri,106486
,"Buchanan, James",Democratic,Missouri,57964
,"Fremont, John",Republican,Missouri,0
,"Fillmore, Millard","Fillmore, Millard",Missouri,48522
1852,Total,Total,Missouri,68801
,"Pierce, Franklin",Democratic,Missouri,38817
,"Scott, Winfield",Whig,Missouri,29984
,"Hale, John",Free Soil,Missouri,0
1848,Total,Total,Missouri,72748
,"Cass, Lewis",Democratic,Missouri,40077
,"Taylor, Zachary",Whig,Missouri,32671
,"Van Buren, Martin",Free Soil,Missouri,0
1844,Total,Total,Missouri,72522
,"Polk, James",Democratic,Missouri,41322
,"Clay, Henry",Whig,Missouri,31200
,"Birney, James",Liberty,Missouri,0
1840,Total,Total,Missouri,52923
,"Van Buren, Martin",Democratic,Missouri,29969
,"Harrison, William",Whig,Missouri,22954
1836,Total,Total,Missouri,18332
,"Van Buren, Martin",Democratic,Missouri,10995
,"Harrison, William",Whig,Missouri,0
,"White, Hugh",Whig,Missouri,7337
,"Webster, Daniel",Whig,Missouri,0
1832,Total,Total,Missouri,5192
,"Jackson, Andrew",Democratic,Missouri,5192
,"Clay, Henry",National Republican,Missouri,0
,"Wirt, William",Anti-Masonic,Missouri,0
1828,Total,Total,Missouri,11654
,"Jackson, Andrew",Democratic,Missouri,8232
,"Adams, John Quincy",National Republican,Missouri,3422
2016,Total,Total,Montana,501822
,"Clinton, Hillary",Democratic,Montana,177709
,"Trump, Donald",Republican,Montana,279240
,"Johnson, Gary",Libertarian,Montana,28037
2012,Total,Total,Montana,484484
,"Obama, Barack",Democratic,Montana,201839
,"Romney, Mitt",Republican,Montana,267928
2008,Total,Total,Montana,492750
,"Obama, Barack",Democratic,Montana,232159
,"McCain, John",Republican,Montana,243882
2004,Total,Total,Montana,450445
,"Kerry, John",Democratic,Montana,173710
,"Bush, George W.",Republican,Montana,266063
2000,Total,Total,Montana,410997
,"Gore, Al",Democratic,Montana,137126
,"Bush, George W.",Republican,Montana,240178
,"Nader, Ralph",Green,Montana,24437
1996,Total,Total,Montana,407261
,"Clinton, Bill",Democratic,Montana,167922
,"Dole, Bob",Republican,Montana,179652
,"Perot, Ross",Reform,Montana,55229
1992,Total,Total,Montana,410611
,"Clinton, Bill",Democratic,Montana,154507
,"Bush, George H.W.",Republican,Montana,144207
,"Perot, Ross",Independent,Montana,107225
1988,Total,Total,Montana,365674
,"Dukakis, Michael",Democratic,Montana,168936
,"Bush, George H.W.",Republican,Montana,190412
1984,Total,Total,Montana,384377
,"Mondale, Walter",Democratic,Montana,146742
,"Reagan, Ronald",Republican,Montana,232450
1980,Total,Total,Montana,363952
,"Carter, Jimmy",Democratic,Montana,118032
,"Reagan, Ronald",Republican,Montana,206814
,"Anderson, John",Independent,Montana,29281
1976,Total,Total,Montana,328734
,"Carter, Jimmy",Democratic,Montana,149259
,"Ford, Gerald",Republican,Montana,173703
1972,Total,Total,Montana,317603
,"McGovern, George",Democratic,Montana,120197
,"Nixon, Richard",Republican,Montana,183976
1968,Total,Total,Montana,274404
,"Humphrey, Hubert",Democratic,Montana,114117
,"Nixon, Richard",Republican,Montana,138835
,"Wallace, George",American Independent,Montana,20015
1964,Total,Total,Montana,278628
,"Johnson, Lyndon (LBJ)",Democratic,Montana,164246
,"Goldwater, Barry",Republican,Montana,113032
1960,Total,Total,Montana,277579
,"Kennedy, Jack (JFK)",Democratic,Montana,134891
,"Nixon, Richard",Republican,Montana,141841
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Montana,847
1956,Total,Total,Montana,271171
,"Stevenson, Adlai",Democratic,Montana,116238
,"Eisenhower, Dwight",Republican,Montana,154933
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Montana,0
1952,Total,Total,Montana,265037
,"Stevenson, Adlai",Democratic,Montana,106213
,"Eisenhower, Dwight",Republican,Montana,157394
1948,Total,Total,Montana,224278
,"Truman, Harry",Democratic,Montana,119071
,"Dewey, Thomas",Republican,Montana,96770
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Montana,0
,"Wallace, Henry",Progressive,Montana,7313
1944,Total,Total,Montana,207355
,"Roosevelt, Franklin (FDR)",Democratic,Montana,112556
,"Dewey, Thomas",Republican,Montana,93163
1940,Total,Total,Montana,247873
,"Roosevelt, Franklin (FDR)",Democratic,Montana,145698
,"Wilkie, Wendell",Republican,Montana,99579
1936,Total,Total,Montana,230512
,"Roosevelt, Franklin (FDR)",Democratic,Montana,159690
,"Landon, Alf",Republican,Montana,63598
1932,Total,Total,Montana,216479
,"Roosevelt, Franklin (FDR)",Democratic,Montana,127286
,"Hoover, Herbert",Republican,Montana,78078
,"Thomas, Norman",Socialist,Montana,7891
1928,Total,Total,Montana,194108
,"Smith, Al",Democratic,Montana,78578
,"Hoover, Herbert",Republican,Montana,113300
1924,Total,Total,Montana,174423
,"Davis, John",Democratic,Montana,33805
,"Coolidge, Calvin",Republican,Montana,74138
,"LaFollette, Robert",Progressive,Montana,66123
1920,Total,Total,Montana,179006
,"Cox, John",Democratic,Montana,57372
,"Harding, Warren",Republican,Montana,109430
,"Debs, Eugene",Socialist,Montana,0
1916,Total,Total,Montana,177679
,"Wilson, Woodrow",Democratic,Montana,101063
,"Hughes, Charles",Republican,Montana,66750
,"Benson, Allan",Socialist,Montana,9564
1912,Total,Total,Montana,79826
,"Wilson, Woodrow",Democratic,Montana,27941
,"Taft, William",Republican,Montana,18512
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Montana,22456
,"Debs, Eugene",Socialist,Montana,10885
1908,Total,Total,Montana,68822
,"Bryan, William",Democratic,Montana,29326
,"Taft, William",Republican,Montana,32333
,"Debs, Eugene",Socialist,Montana,5855
1904,Total,Total,Montana,64444
,"Parker, Alton",Democratic,Montana,21773
,"Roosevelt, Theodore (Teddy)",Republican,Montana,34932
,"Debs, Eugene",Socialist,Montana,5676
1900,Total,Total,Montana,63856
,"Bryan, William",Democratic,Montana,37311
,"McKinley, William",Republican,Montana,25409
1896,Total,Total,Montana,53330
,"Bryan, William",Democratic,Montana,42628
,"McKinley, William",Republican,Montana,10509
1892,Total,Total,Montana,44461
,"Cleveland, Grover",Democratic,Montana,17690
,"Harrison, Benjamin",Republican,Montana,18871
,"Weaver, James",Populist,Montana,7338
1888,Total,Total,Montana,
,"Cleveland, Grover",Democratic,Montana,
,"Harrison, Benjamin",Republican,Montana,
1884,Total,Total,Montana,
,"Cleveland, Grover",Democratic,Montana,
,"Blaine, James",Republican,Montana,
1880,Total,Total,Montana,
,"Hancock, Winfield",Democratic,Montana,
,"Garfield, James",Republican,Montana,
,"Weaver, James",Greenback,Montana,
1876,Total,Total,Montana,
,"Tilden, Samuel",Democratic,Montana,
,"Hayes, Rutherford",Republican,Montana,
1872,Total,Total,Montana,
,"Greeley, Horace",Liberal Republican/Democratic,Montana,
,"Grant, Ulysses",Republican,Montana,
1868,Total,Total,Montana,
,"Seymour, Horatio",Democratic,Montana,
,"Grant, Ulysses",Republican,Montana,
1864,Total,Total,Montana,
,"McClellan, George",Democratic,Montana,
,"Lincoln, Abraham",National Union (Republican),Montana,
1860,Total,Total,Montana,
,"Douglas, Stephen",(Northern) Democratic,Montana,
,"Lincoln, Abraham",Republican,Montana,
,"Breckinridge, John",Southern Democratic,Montana,
,"Bell, John",Constitutional Union,Montana,
1856,Total,Total,Montana,
,"Buchanan, James",Democratic,Montana,
,"Fremont, John",Republican,Montana,
,"Fillmore, Millard","Fillmore, Millard",Montana,
1852,Total,Total,Montana,
,"Pierce, Franklin",Democratic,Montana,
,"Scott, Winfield",Whig,Montana,
,"Hale, John",Free Soil,Montana,
1848,Total,Total,Montana,
,"Cass, Lewis",Democratic,Montana,
,"Taylor, Zachary",Whig,Montana,
,"Van Buren, Martin",Free Soil,Montana,
1844,Total,Total,Montana,
,"Polk, James",Democratic,Montana,
,"Clay, Henry",Whig,Montana,
,"Birney, James",Liberty,Montana,
1840,Total,Total,Montana,
,"Van Buren, Martin",Democratic,Montana,
,"Harrison, William",Whig,Montana,
1836,Total,Total,Montana,
,"Van Buren, Martin",Democratic,Montana,
,"Harrison, William",Whig,Montana,
,"White, Hugh",Whig,Montana,
,"Webster, Daniel",Whig,Montana,
1832,Total,Total,Montana,
,"Jackson, Andrew",Democratic,Montana,
,"Clay, Henry",National Republican,Montana,
,"Wirt, William",Anti-Masonic,Montana,
1828,Total,Total,Montana,
,"Jackson, Andrew",Democratic,Montana,
,"Adams, John Quincy",National Republican,Montana,
2016,Total,Total,Nebraska,844227
,"Clinton, Hillary",Democratic,Nebraska,284494
,"Trump, Donald",Republican,Nebraska,495961
,"Johnson, Gary",Libertarian,Nebraska,38946
2012,Total,Total,Nebraska,794379
,"Obama, Barack",Democratic,Nebraska,302081
,"Romney, Mitt",Republican,Nebraska,475064
2008,Total,Total,Nebraska,801281
,"Obama, Barack",Democratic,Nebraska,333319
,"McCain, John",Republican,Nebraska,452979
2004,Total,Total,Nebraska,778186
,"Kerry, John",Democratic,Nebraska,254328
,"Bush, George W.",Republican,Nebraska,512814
2000,Total,Total,Nebraska,697019
,"Gore, Al",Democratic,Nebraska,231780
,"Bush, George W.",Republican,Nebraska,433862
,"Nader, Ralph",Green,Nebraska,24540
1996,Total,Total,Nebraska,677415
,"Clinton, Bill",Democratic,Nebraska,236761
,"Dole, Bob",Republican,Nebraska,363467
,"Perot, Ross",Reform,Nebraska,71278
1992,Total,Total,Nebraska,739283
,"Clinton, Bill",Democratic,Nebraska,217344
,"Bush, George H.W.",Republican,Nebraska,344346
,"Perot, Ross",Independent,Nebraska,174687
1988,Total,Total,Nebraska,662372
,"Dukakis, Michael",Democratic,Nebraska,259646
,"Bush, George H.W.",Republican,Nebraska,398447
1984,Total,Total,Nebraska,652090
,"Mondale, Walter",Democratic,Nebraska,187866
,"Reagan, Ronald",Republican,Nebraska,460054
1980,Total,Total,Nebraska,640854
,"Carter, Jimmy",Democratic,Nebraska,166851
,"Reagan, Ronald",Republican,Nebraska,419937
,"Anderson, John",Independent,Nebraska,44993
1976,Total,Total,Nebraska,607668
,"Carter, Jimmy",Democratic,Nebraska,233692
,"Ford, Gerald",Republican,Nebraska,359705
1972,Total,Total,Nebraska,576289
,"McGovern, George",Democratic,Nebraska,169991
,"Nixon, Richard",Republican,Nebraska,406298
1968,Total,Total,Nebraska,536851
,"Humphrey, Hubert",Democratic,Nebraska,170784
,"Nixon, Richard",Republican,Nebraska,321163
,"Wallace, George",American Independent,Nebraska,44904
1964,Total,Total,Nebraska,584154
,"Johnson, Lyndon (LBJ)",Democratic,Nebraska,307307
,"Goldwater, Barry",Republican,Nebraska,276847
1960,Total,Total,Nebraska,613095
,"Kennedy, Jack (JFK)",Democratic,Nebraska,232542
,"Nixon, Richard",Republican,Nebraska,380553
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Nebraska,0
1956,Total,Total,Nebraska,577137
,"Stevenson, Adlai",Democratic,Nebraska,199029
,"Eisenhower, Dwight",Republican,Nebraska,378108
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Nebraska,0
1952,Total,Total,Nebraska,609660
,"Stevenson, Adlai",Democratic,Nebraska,188057
,"Eisenhower, Dwight",Republican,Nebraska,421603
1948,Total,Total,Nebraska,488940
,"Truman, Harry",Democratic,Nebraska,224165
,"Dewey, Thomas",Republican,Nebraska,264774
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Nebraska,0
,"Wallace, Henry",Progressive,Nebraska,0
1944,Total,Total,Nebraska,563126
,"Roosevelt, Franklin (FDR)",Democratic,Nebraska,233246
,"Dewey, Thomas",Republican,Nebraska,329880
1940,Total,Total,Nebraska,615878
,"Roosevelt, Franklin (FDR)",Democratic,Nebraska,263677
,"Wilkie, Wendell",Republican,Nebraska,352201
1936,Total,Total,Nebraska,608023
,"Roosevelt, Franklin (FDR)",Democratic,Nebraska,347445
,"Landon, Alf",Republican,Nebraska,247731
1932,Total,Total,Nebraska,570137
,"Roosevelt, Franklin (FDR)",Democratic,Nebraska,359082
,"Hoover, Herbert",Republican,Nebraska,201177
,"Thomas, Norman",Socialist,Nebraska,9876
1928,Total,Total,Nebraska,547144
,"Smith, Al",Democratic,Nebraska,197959
,"Hoover, Herbert",Republican,Nebraska,345745
1924,Total,Total,Nebraska,464173
,"Davis, John",Democratic,Nebraska,137289
,"Coolidge, Calvin",Republican,Nebraska,218585
,"LaFollette, Robert",Progressive,Nebraska,106701
1920,Total,Total,Nebraska,382743
,"Cox, John",Democratic,Nebraska,119608
,"Harding, Warren",Republican,Nebraska,247498
,"Debs, Eugene",Socialist,Nebraska,9600
1916,Total,Total,Nebraska,287315
,"Wilson, Woodrow",Democratic,Nebraska,158827
,"Hughes, Charles",Republican,Nebraska,117771
,"Benson, Allan",Socialist,Nebraska,7141
1912,Total,Total,Nebraska,249483
,"Wilson, Woodrow",Democratic,Nebraska,109008
,"Taft, William",Republican,Nebraska,54226
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Nebraska,72681
,"Debs, Eugene",Socialist,Nebraska,10185
1908,Total,Total,Nebraska,266799
,"Bryan, William",Democratic,Nebraska,131099
,"Taft, William",Republican,Nebraska,126997
,"Debs, Eugene",Socialist,Nebraska,3524
1904,Total,Total,Nebraska,225732
,"Parker, Alton",Democratic,Nebraska,52921
,"Roosevelt, Theodore (Teddy)",Republican,Nebraska,138558
,"Debs, Eugene",Socialist,Nebraska,7412
1900,Total,Total,Nebraska,241430
,"Bryan, William",Democratic,Nebraska,114013
,"McKinley, William",Republican,Nebraska,121835
1896,Total,Total,Nebraska,223182
,"Bryan, William",Democratic,Nebraska,115007
,"McKinley, William",Republican,Nebraska,103064
1892,Total,Total,Nebraska,200192
,"Cleveland, Grover",Democratic,Nebraska,24943
,"Harrison, Benjamin",Republican,Nebraska,87213
,"Weaver, James",Populist,Nebraska,83134
1888,Total,Total,Nebraska,202632
,"Cleveland, Grover",Democratic,Nebraska,80552
,"Harrison, Benjamin",Republican,Nebraska,108425
1884,Total,Total,Nebraska,134202
,"Cleveland, Grover",Democratic,Nebraska,54391
,"Blaine, James",Republican,Nebraska,76912
1880,Total,Total,Nebraska,87452
,"Hancock, Winfield",Democratic,Nebraska,28523
,"Garfield, James",Republican,Nebraska,54979
,"Weaver, James",Greenback,Nebraska,3950
1876,Total,Total,Nebraska,49328
,"Tilden, Samuel",Democratic,Nebraska,17413
,"Hayes, Rutherford",Republican,Nebraska,31915
1872,Total,Total,Nebraska,25932
,"Greeley, Horace",Liberal Republican/Democratic,Nebraska,7603
,"Grant, Ulysses",Republican,Nebraska,18329
1868,Total,Total,Nebraska,15291
,"Seymour, Horatio",Democratic,Nebraska,5519
,"Grant, Ulysses",Republican,Nebraska,9772
1864,Total,Total,Nebraska,
,"McClellan, George",Democratic,Nebraska,
,"Lincoln, Abraham",National Union (Republican),Nebraska,
1860,Total,Total,Nebraska,
,"Douglas, Stephen",(Northern) Democratic,Nebraska,
,"Lincoln, Abraham",Republican,Nebraska,
,"Breckinridge, John",Southern Democratic,Nebraska,
,"Bell, John",Constitutional Union,Nebraska,
1856,Total,Total,Nebraska,
,"Buchanan, James",Democratic,Nebraska,
,"Fremont, John",Republican,Nebraska,
,"Fillmore, Millard","Fillmore, Millard",Nebraska,
1852,Total,Total,Nebraska,
,"Pierce, Franklin",Democratic,Nebraska,
,"Scott, Winfield",Whig,Nebraska,
,"Hale, John",Free Soil,Nebraska,
1848,Total,Total,Nebraska,
,"Cass, Lewis",Democratic,Nebraska,
,"Taylor, Zachary",Whig,Nebraska,
,"Van Buren, Martin",Free Soil,Nebraska,
1844,Total,Total,Nebraska,
,"Polk, James",Democratic,Nebraska,
,"Clay, Henry",Whig,Nebraska,
,"Birney, James",Liberty,Nebraska,
1840,Total,Total,Nebraska,
,"Van Buren, Martin",Democratic,Nebraska,
,"Harrison, William",Whig,Nebraska,
1836,Total,Total,Nebraska,
,"Van Buren, Martin",Democratic,Nebraska,
,"Harrison, William",Whig,Nebraska,
,"White, Hugh",Whig,Nebraska,
,"Webster, Daniel",Whig,Nebraska,
1832,Total,Total,Nebraska,
,"Jackson, Andrew",Democratic,Nebraska,
,"Clay, Henry",National Republican,Nebraska,
,"Wirt, William",Anti-Masonic,Nebraska,
1828,Total,Total,Nebraska,
,"Jackson, Andrew",Democratic,Nebraska,
,"Adams, John Quincy",National Republican,Nebraska,
2016,Total,Total,Nevada,1125385
,"Clinton, Hillary",Democratic,Nevada,539260
,"Trump, Donald",Republican,Nevada,512058
,"Johnson, Gary",Libertarian,Nevada,37384
2012,Total,Total,Nevada,1014918
,"Obama, Barack",Democratic,Nevada,531373
,"Romney, Mitt",Republican,Nevada,463567
2008,Total,Total,Nevada,967848
,"Obama, Barack",Democratic,Nevada,533736
,"McCain, John",Republican,Nevada,412827
2004,Total,Total,Nevada,829587
,"Kerry, John",Democratic,Nevada,397190
,"Bush, George W.",Republican,Nevada,418690
2000,Total,Total,Nevada,608970
,"Gore, Al",Democratic,Nevada,279978
,"Bush, George W.",Republican,Nevada,301575
,"Nader, Ralph",Green,Nevada,15008
1996,Total,Total,Nevada,464279
,"Clinton, Bill",Democratic,Nevada,203974
,"Dole, Bob",Republican,Nevada,199244
,"Perot, Ross",Reform,Nevada,43986
1992,Total,Total,Nevada,506318
,"Clinton, Bill",Democratic,Nevada,189148
,"Bush, George H.W.",Republican,Nevada,175828
,"Perot, Ross",Independent,Nevada,132580
1988,Total,Total,Nevada,350067
,"Dukakis, Michael",Democratic,Nevada,132738
,"Bush, George H.W.",Republican,Nevada,206040
1984,Total,Total,Nevada,286667
,"Mondale, Walter",Democratic,Nevada,91655
,"Reagan, Ronald",Republican,Nevada,188770
1980,Total,Total,Nevada,247885
,"Carter, Jimmy",Democratic,Nevada,66666
,"Reagan, Ronald",Republican,Nevada,155017
,"Anderson, John",Independent,Nevada,17651
1976,Total,Total,Nevada,201876
,"Carter, Jimmy",Democratic,Nevada,92479
,"Ford, Gerald",Republican,Nevada,101273
1972,Total,Total,Nevada,181766
,"McGovern, George",Democratic,Nevada,66016
,"Nixon, Richard",Republican,Nevada,115750
1968,Total,Total,Nevada,154218
,"Humphrey, Hubert",Democratic,Nevada,60598
,"Nixon, Richard",Republican,Nevada,73188
,"Wallace, George",American Independent,Nevada,20432
1964,Total,Total,Nevada,135433
,"Johnson, Lyndon (LBJ)",Democratic,Nevada,79339
,"Goldwater, Barry",Republican,Nevada,56094
1960,Total,Total,Nevada,107267
,"Kennedy, Jack (JFK)",Democratic,Nevada,54880
,"Nixon, Richard",Republican,Nevada,52387
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Nevada,0
1956,Total,Total,Nevada,96689
,"Stevenson, Adlai",Democratic,Nevada,40640
,"Eisenhower, Dwight",Republican,Nevada,56049
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Nevada,0
1952,Total,Total,Nevada,82190
,"Stevenson, Adlai",Democratic,Nevada,31688
,"Eisenhower, Dwight",Republican,Nevada,50502
1948,Total,Total,Nevada,62117
,"Truman, Harry",Democratic,Nevada,31291
,"Dewey, Thomas",Republican,Nevada,29357
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Nevada,0
,"Wallace, Henry",Progressive,Nevada,1469
1944,Total,Total,Nevada,54234
,"Roosevelt, Franklin (FDR)",Democratic,Nevada,29623
,"Dewey, Thomas",Republican,Nevada,24611
1940,Total,Total,Nevada,53174
,"Roosevelt, Franklin (FDR)",Democratic,Nevada,31945
,"Wilkie, Wendell",Republican,Nevada,21229
1936,Total,Total,Nevada,43848
,"Roosevelt, Franklin (FDR)",Democratic,Nevada,31925
,"Landon, Alf",Republican,Nevada,11923
1932,Total,Total,Nevada,41430
,"Roosevelt, Franklin (FDR)",Democratic,Nevada,28756
,"Hoover, Herbert",Republican,Nevada,12674
,"Thomas, Norman",Socialist,Nevada,0
1928,Total,Total,Nevada,32417
,"Smith, Al",Democratic,Nevada,14090
,"Hoover, Herbert",Republican,Nevada,18327
1924,Total,Total,Nevada,26921
,"Davis, John",Democratic,Nevada,5909
,"Coolidge, Calvin",Republican,Nevada,11243
,"LaFollette, Robert",Progressive,Nevada,9769
1920,Total,Total,Nevada,27194
,"Cox, John",Democratic,Nevada,9851
,"Harding, Warren",Republican,Nevada,15479
,"Debs, Eugene",Socialist,Nevada,1864
1916,Total,Total,Nevada,33316
,"Wilson, Woodrow",Democratic,Nevada,17776
,"Hughes, Charles",Republican,Nevada,12127
,"Benson, Allan",Socialist,Nevada,3065
1912,Total,Total,Nevada,20115
,"Wilson, Woodrow",Democratic,Nevada,7986
,"Taft, William",Republican,Nevada,3196
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",Nevada,5620
,"Debs, Eugene",Socialist,Nevada,3313
1908,Total,Total,Nevada,24526
,"Bryan, William",Democratic,Nevada,11212
,"Taft, William",Republican,Nevada,10775
,"Debs, Eugene",Socialist,Nevada,2103
1904,Total,Total,Nevada,12115
,"Parker, Alton",Democratic,Nevada,3982
,"Roosevelt, Theodore (Teddy)",Republican,Nevada,6864
,"Debs, Eugene",Socialist,Nevada,925
1900,Total,Total,Nevada,10196
,"Bryan, William",Democratic,Nevada,6347
,"McKinley, William",Republican,Nevada,3849
1896,Total,Total,Nevada,10314
,"Bryan, William",Democratic,Nevada,8376
,"McKinley, William",Republican,Nevada,1938
1892,Total,Total,Nevada,10878
,"Cleveland, Grover",Democratic,Nevada,714
,"Harrison, Benjamin",Republican,Nevada,2811
,"Weaver, James",Populist,Nevada,7264
1888,Total,Total,Nevada,12278
,"Cleveland, Grover",Democratic,Nevada,5149
,"Harrison, Benjamin",Republican,Nevada,7088
1884,Total,Total,Nevada,12797
,"Cleveland, Grover",Democratic,Nevada,5578
,"Blaine, James",Republican,Nevada,7193
1880,Total,Total,Nevada,18345
,"Hancock, Winfield",Democratic,Nevada,9613
,"Garfield, James",Republican,Nevada,8732
,"Weaver, James",Greenback,Nevada,0
1876,Total,Total,Nevada,19691
,"Tilden, Samuel",Democratic,Nevada,9308
